id,nombre,calle,altura,direccion,telefonos,barrio,comuna,codigo_pos,geometry
1,Comisaría Vecinal12-A (edificio anexo),RAMALLO,4398,RAMALLO 4398,911,Saavedra,12,,POINT (-58.49101503190442 -34.550990102464745)
2,Comisaría Vecinal 7-A,"BONORINO, ESTEBAN, CNEL. AV.",258,"BONORINO, ESTEBAN, CNEL. AV. 258",911,Flores,7,C1406DME,POINT (-58.458307591055934 -34.6310563022503)
3,Comisaría Vecinal 6-B,AVELLANEDA AV.,1548,AVELLANEDA AV. 1548,911,Caballito,6,,POINT (-58.45322168166576 -34.62038139407484)
4,Comisaría Vecinal 5-A,BILLINGHURST,471,BILLINGHURST 471,911,Almagro,5,C1174ABG,POINT (-58.415664541274616 -34.604406411773645)
5,Comisaría Vecinal 4-A,ZAVALETA,425,ZAVALETA 425,911,Parque Patricios,4,,POINT (-58.40283281867738 -34.64194792387007)
6,Comisaría Vecinal 3-C,REPUBLICA BOLIVARIANA DE VENEZUELA,1958,REPUBLICA BOLIVARIANA DE VENEZUELA 1931,911,Balvanera,3,C1096ABG,POINT (-58.39367895264552 -34.614970908070276)
7,Comisaría Vecinal 2-A,LAS HERAS GENERAL AV.,1861,LAS HERAS GENERAL AV. 1861,911,Recoleta,2,C1127AAA,POINT (-58.39236199141657 -34.591136443178065)
8,Comisaría Vecinal 15-A,GUZMAN,396,GUZMAN 396,911,Chacarita,15,C1427BOC,POINT (-58.451074877939185 -34.590546220097984)
9,Comisaría Vecinal 14-C,REPUBLICA ARABE SIRIA,2961,REPUBLICA ARABE SIRIA 2961,911,Palermo,14,C1425EYI,POINT (-58.41366150581631 -34.58126954919628)
10,Comisaría Vecinal 11-A,"BUFANO, ALFREDO R.",1800,"BUFANO, ALFREDO R. 1800",911,Villa Gral. Mitre,11,C1416AJM,POINT (-58.47293895840077 -34.61102295837465)
11,Comisaría Vecinal 10-C,RAFAELA,4751,RAFAELA 4751,911,Villa Luro,10,C1407GUY,POINT (-58.494099442703885 -34.63918663321706)
12,Comisaría Vecinal 1-A (edificio anexo I),DE LOS INMIGRANTES AV.,2250,DE LOS INMIGRANTES AV. 2250,911,Retiro,1,C1104ADU,POINT (-58.36958049572027 -34.58429865140957)
13,Comisaría Comunal 13,JURAMENTO,4367,JURAMENTO 4367,911,Villa Urquiza,12,C1430BSU,POINT (-58.47578919089627 -34.5731972491801)
14,Comisaría Vecinal 3-B,CATAMARCA,1345,CATAMARCA 1345,911,San Cristobal,3,,POINT (-58.40311991984066 -34.62604808781184)
15,Comisaría Vecinal 14-A,"ALVAREZ, JULIAN",2373,"ALVAREZ, JULIAN 2373",911,Palermo,14,C1425DHI,POINT (-58.41610387118705 -34.58776786078862)
16,Comisaría Vecinal 1-E,"HUERGO, ING. AV.",1500,"HUERGO, ING. AV. 1500",911,Puerto Madero,1,,POINT (-58.36540954049011 -34.623676756052674)
17,Comisaría Vecinal 4-C,PINZON,456,PINZON 456,911,La Boca,4,C1161ACI,POINT (-58.36069524664056 -34.63410104469192)
18,Comisaría Vecinal 1-F,PERU,1050,PERU 1050,911,San Telmo,1,C1068AAK,POINT (-58.37408849620005 -34.620236707869864)
19,Comisaría Vecinal 9-A,"DE LA TORRE, LISANDRO AV.",2343,"DE LA TORRE, LISANDRO AV. 2343",911,Mataderos,9,C1440ECL,POINT (-58.50118618349343 -34.661924211825074)
20,Comisaría Comunal 7,"BONORINO, ESTEBAN, CNEL. AV.",258,"BONORINO, ESTEBAN, CNEL. AV. 258",911,Flores,7,C1406DME,POINT (-58.458307591055934 -34.6310563022503)
21,Comisaria Vecinal 4-A (edificio anexo),CASEROS AV.,2724,CASEROS AV. 2724,911,Parque Patricios,4,C1264AAH,POINT (-58.40086114781002 -34.63640427680307)
22,Comisaría Vecinal 15-C,GUZMAN,396,GUZMAN 396,911,Chacarita,15,C1427BOC,POINT (-58.45132792000443 -34.59047448311428)
23,Comisaría Vecinal 9-B,"JUSTO, JUAN B. AV.",9752,"JUSTO, JUAN B. AV. 9752",911,Liniers,9,,POINT (-58.52755284084778 -34.63489634508499)
24,Comisaría Comunal 12,RAMALLO,4398,RAMALLO 4398,911,Saavedra,12,,POINT (-58.49101503190442 -34.550990102464745)
25,Comisaría Comunal 15,GUZMAN,396,GUZMAN 396,911,Chacarita,15,C1427BOC,POINT (-58.451074877939185 -34.590546220097984)
26,Comisaría Comunal 4,ZAVALETA,425,ZAVALETA 425,911,Parque Patricios,4,,POINT (-58.40283281867738 -34.64194792387007)
27,Comisaría Comunal 10,RAFAELA,4751,RAFAELA 4751,911,Villa Luro,10,C1407GUY,POINT (-58.494099442703885 -34.63918663321706)
28,Comisaria Comunal 9,"JUSTO, JUAN B. AV.",9752,"JUSTO, JUAN B. AV. 9752",911,Liniers,9,,POINT (-58.52751592037157 -34.63487596001541)
29,Comisaría Vecinal 8-B (edificio anexo I),PEDERNERA,3405,PEDERNERA 3405,911,Villa Soldati,8,C1437BIG,POINT (-58.431835553573045 -34.66041800036428)
30,Comisaría Vecinal 1-C,SAN JUAN AV.,1757,SAN JUAN AV. 1757,911,Constitucion,1,C1148AAF,POINT (-58.39072173330163 -34.62254103571925)
31,Comisaría Vecinal 1-C (edificio anexo),SAN JOSE,1224,SAN JOSE 1224,911,Constitucion,1,,POINT (-58.38572834729359 -34.62292577857168)
32,Comisaría Comunal 6,AVELLANEDA AV.,1548,AVELLANEDA AV. 1548,911,Caballito,6,,POINT (-58.45322168166576 -34.62038139407484)
33,Comisaría Comunal 1,DE LOS INMIGRANTES AV.,2250,DE LOS INMIGRANTES AV. 2250,911,Retiro,1,C1104ADU,POINT (-58.36958049572027 -34.58429865140957)
34,Comisaría Comunal 2,LAS HERAS GENERAL AV.,1861,LAS HERAS GENERAL AV. 1861,911,Recoleta,2,C1127AAA,POINT (-58.39236199141657 -34.591136443178065)
35,Comisaría Vecinal 1-D,LAVALLE,451,LAVALLE 451,911,San Nicolas,1,C1047AAI,POINT (-58.37324885578176 -34.60190533346012)
36,Comisaría Vecinal 5-B,MUÑIZ,1250,MUÑIZ 1250,911,Boedo,5,C1255ACC,POINT (-58.42492801152498 -34.62863984277676)
37,Comisaría Vecinal 6-A,DIAZ VELEZ AV.,5152,DIAZ VELEZ AV. 5152,911,Caballito,6,C1405DCG,POINT (-58.43950273257121 -34.608977891300256)
38,Comisaría Vecinal 7-B,VALLE,1454,VALLE 1454,911,Caballito,6,C1406GTG,POINT (-58.448088022379274 -34.62677886954029)
39,Comisaría Vecinal 2-B,CHARCAS,2844,CHARCAS 2844,911,Recoleta,2,C1425BMG,POINT (-58.406722080262135 -34.5940780229934)
40,Comisaría Vecinal 12-A,MACHAIN,3045,MACHAIN 3045,911,Villa Urquiza,12,C1430DYA,POINT (-58.48252524827416 -34.565145629242174)
41,Comisaría Vecinal 15-B,CAMARGO,645,CAMARGO 645,911,Villa Crespo,15,C1414AHM,POINT (-58.44108560356735 -34.59932010840561)
42,Comisaría Vecinal 4-B,QUILMES,456,QUILMES 456,911,Nueva Pompeya,4,C1437DLI,POINT (-58.417157992360934 -34.64479313618811)
43,Comisaría Vecinal 8-B,ESCALADA AV.,4347,ESCALADA AV. 4347,911,Villa Lugano,8,,POINT (-58.454267122981484 -34.67735534617036)
44,Comisaría Vecinal 1-B,TACUARI,770,TACUARI 770,911,Monserrat,1,C1071AAO,POINT (-58.37858130354149 -34.617160446937426)
45,Comisaría Vecinal 9-C,REMEDIOS,3748,REMEDIOS 3748,911,Parque Avellaneda,9,C1407HJI,POINT (-58.476336219370545 -34.64146107167717)
46,Comisaría Vecinal 11-B,"CUBAS, JOSE",4154,"CUBAS, JOSE 4154",911,Villa Devoto,11,C1419GOG,POINT (-58.51560404631523 -34.59831458730553)
47,Comisaría Vecinal 12-B (edificio anexo I),NAZCA,4254,NAZCA 4254,911,Villa Pueyrredon,12,C1419DFF,POINT (-58.49936617057593 -34.58971288961547)
48,Comisaría Vecinal 8-A,"LEGUIZAMON, MARTINIANO",4347,"LEGUIZAMON, MARTINIANO 4347",911,Villa Lugano,8,C1439FSE,POINT (-58.474888158101265 -34.67903291493464)
49,Comisaría Vecinal 4-E,"MONTES DE OCA, MANUEL AV.",861,"MONTES DE OCA, MANUEL AV. 861",911,Barracas,4,C1270AAI,POINT (-58.374858359482914 -34.63822092897085)
50,Comisaría Vecinal 4-D,CALIFORNIA,1850,CALIFORNIA 1850,911,Barracas,4,C1289AAK,POINT (-58.37478987747005 -34.6471488978436)
51,Comisaría Vecinal 14-B,CABILDO AV.,232,CABILDO AV. 232,911,Palermo,14,C1426AAC,POINT (-58.43904957050002 -34.573257038631915)
52,Comisaría Vecinal 13-C,MENDOZA,2263,MENDOZA 2263,911,Belgrano,13,C1428DKK,POINT (-58.45609733440254 -34.56014527431079)
53,Comisaría Vecinal 13-B,CUBA,3145,CUBA 3145,911,Nuñez,13,C1429AXG,POINT (-58.463543639788206 -34.5512909001547)
54,Comisaría Vecinal 12-B,OLAZABAL AV.,5437,OLAZABAL AV. 5437,911,Villa Urquiza,12,C1431CGK,POINT (-58.49009267264174 -34.57877677036396)
55,Comisaría Vecinal 10-B,"PORCEL DE PERALTA, MANUEL",726,"PORCEL DE PERALTA, MANUEL 726",911,Versalles,10,,POINT (-58.523901986041395 -34.629562799536316)
56,Comisaría Vecinal 1-A,TUCUMAN,1156,SUIPACHA 1156,911,Retiro,1,C1050AAE,POINT (-58.38003952667834 -34.594643162499665)
57,Comisaría Vecinal 12-C,JURAMENTO,4367,JURAMENTO 4367,911,Villa Urquiza,12,C1430BSU,POINT (-58.47578919089627 -34.5731972491801)
58,Comisaría Comunal 11,"BUFANO, ALFREDO R.",1800,"BUFANO, ALFREDO R. 1800",911,Villa Gral. Mitre,11,C1416AJM,POINT (-58.47293895840077 -34.61102295837465)
59,Comisaría Vecinal 10-A,CHIVILCOY,453,CHIVILCOY 453,911,Floresta,10,C1407AEG,POINT (-58.48377879857752 -34.62880577190448)
60,Comisaría Vecinal 7-C,GAONA AV.,2738,GAONA AV. 2738,911,Flores,7,C1416DSC,POINT (-58.46482110249305 -34.61611299874862)
61,Comisaría Vecinal 10-C,BASUALDO,165,BASUALDO 165,911,Villa Luro,10,C1408HUC,POINT (-58.50508483847855 -34.639965860505626)
62,Comisaría Vecinal 3-A (edificio anexo),"URQUIZA, GRAL.",544,"URQUIZA, GRAL. 544",911,Balvanera,3,C1221ADA,POINT (-58.40928216463775 -34.61705659478637)
63,Comisaría Vecinal 13-A,ARTILLEROS,2081,ARTILLEROS 2081,911,Belgrano,13,C1428AUE,POINT (-58.444131059406836 -34.55488835516263)
64,Comisaría Vecinal 8-C,"DIAZ, ANA",5899,"DIAZ, ANA 5899",911,Villa Lugano,8,C1439CRD,POINT (-58.468969318089265 -34.68309883885219)
65,Comisaria Vecinal 1-A (edificio anexo II),SUIPACHA,1156,SUIPACHA 1156,911,San Nicolas,1,C1008AAW,POINT (-58.38890886319144 -34.60192349060992)
66,Comisaria Vecinal 14-A (edificio anexo),"SCALABRINI ORTIZ, RAUL AV.",1350,"SCALABRINI ORTIZ, RAUL AV. 1350",911,Palermo,14,C1414DOA,POINT (-58.42760256512527 -34.59249343857936)
67,Comisaria Comunal 8,23 DE JUNIO,,"CABRERA, DELFO y 23 DE JUNIO",911,Villa Soldati,8,,POINT (-58.455378659756576 -34.67303346585819)
68,Comisaría Vecinal 3-A,LAVALLE,2625,LAVALLE 2625,911,Balvanera,3,C1052AAG,POINT (-58.40407720431502 -34.60329113019939)
69,Comisaría Comunal 3,REPUBLICA BOLIVARIANA DE VENEZUELA,1958,REPUBLICA BOLIVARIANA DE VENEZUELA 1931,911,Balvanera,3,C1096ABG,POINT (-58.39367592639254 -34.615008346785075)
70,Comisaría Comunal 14,REPUBLICA ARABE SIRIA,2961,REPUBLICA ARABE SIRIA 2961,911,Palermo,14,C1425EYI,POINT (-58.41366150581631 -34.58126954919628)
71,Comisaría Comunal 5,BILLINGHURST,471,BILLINGHURST 471,911,Almagro,5,C1174ABG,POINT (-58.415664541274616 -34.604406411773645)
72,Comisaría Comunal 1 Norte,CORRIENTES AV.,436,CORRIENTES AV. 436,911,San Nicolas,1,C1043AAE,POINT (-58.37272314184262 -34.60339778867843)
73,Comisaría Comunal 1 Sur,PERU,1050,PERU 1050,911,San Telmo,1,C1068AAK,POINT (-58.37400376134853 -34.62026507730856)
74,Comisaría Vecinal 3-C (anexo I),LAVALLE,1958,LAVALLE 1958,911,Balvanera,3,C1051ABC,POINT (-58.394768079033724 -34.60334522895158)
75,Comisaría Vecinal 14-A (edificio anexo II),SANTA FE AV.,4000,SANTA FE AV. 4000,911,Palermo,14,C1425BHB,POINT (-58.420124506242104 -34.58255196829385)
